Accession	Description	Classification	Genome Length (bp)	Jumbophage	molGC (%)	Molecule	Modification Date	Number CDS	Positive Strand (%)	Negative Strand (%)	Coding Capacity (%)	Low Coding Capacity Warning	tRNAs	Host	Lowest Taxa	Genus	Sub-family	Family	Order	Class	Phylum	Kingdom	Realm	Baltimore Group	Genbank Division	Isolation Host (beware inconsistent and nonsense values)
OP852425	Klebsiella phage BUCT631	Klebsiella phage BUCT631 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44812	FALSE	54.097	DNA	13-DEC-2022	58	0	100	92.9282335088815	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
OP727261	Acinetobacter phage MRABP9	Acinetobacter phage MRABP9 Friunavirus Beijerinckvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40342	FALSE	39.490	DNA	13-DEC-2022	47	100	0	92.4049377819642	NA	0	Acinetobacter	Friunavirus	Friunavirus	Beijerinckvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii strain MRAB11
KY000081	Klebsiella phage KPV811	Klebsiella phage KPV811 Drulisvirus KPV811 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42641	FALSE	51.347	DNA	05-DEC-2022	52	0	100	94.7820173072864	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
OP441381	Klebsiella phage vB_KpP_FBKp18	Klebsiella phage vB_KpP_FBKp18 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43592	FALSE	53.569	DNA	30-NOV-2022	59	100	0	94.3315287208662	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella sp.
ON755175	Klebsiella phage KXP	Klebsiella phage KXP Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42946	FALSE	54.203	DNA	27-NOV-2022	54	100	0	94.0669678200531	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
OK583893	Klebsiella phage KPPK108.2	Klebsiella phage KPPK108.2 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43834	FALSE	54.049	DNA	20-NOV-2022	54	100	0	93.0168362458366	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae strain 1732/P-224
OP413829	Klebsiella phage pKP-M186-2.2	Klebsiella phage pKP-M186-2.2 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44728	FALSE	53.830	DNA	20-NOV-2022	60	0	100	91.1777857270613	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae M186-2
ON457557	Vibrio phage vB_VpaP_M3	Vibrio phage vB_VpaP_M3 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43446	FALSE	48.787	DNA	28-OCT-2022	49	100	0	94.1513603093495	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus M2413
ON457556	Vibrio phage vB_VpaP_C2	Vibrio phage vB_VpaP_C2 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43494	FALSE	48.772	DNA	28-OCT-2022	47	100	0	93.3990895295903	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus M2413
ON457555	Vibrio phage vB_VpaP_M9	Vibrio phage vB_VpaP_M9 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43268	FALSE	48.768	DNA	28-OCT-2022	49	100	0	94.5456226310437	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus M2413
ON457554	Vibrio phage vB_VpaP_M83	Vibrio phage vB_VpaP_M83 Maculvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43901	FALSE	48.801	DNA	28-OCT-2022	49	100	0	94.6857702558028	NA	0	Vibrio	Maculvirus	Maculvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio parahaemolyticus M2413
OP114731	Klebsiella phage SKP1	Klebsiella phage SKP1 Drulisvirus Slopekvirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44006	FALSE	54.009	DNA	19-OCT-2022	58	100	0	94.0644457573967	NA	0	Klebsiella	Drulisvirus	Drulisvirus	Slopekvirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
