	ON864052_Vibrio_phage_vB_VpP_AC2,_complete_genome.	OQ302138_Vibrio_phage_VP9,_complete_genome.	OQ999171_Vibrio_phage_VPy02,_complete_genome.	OK585160_Vibrio_phage_vB_VpP_HA7,_complete_genome.	OK585159_Vibrio_phage_vB_VpP_HA5,_complete_genome.	ON457556_Vibrio_phage_vB_VpaP_C2,_complete_genome.	MZ020222_Vibrio_phage_BUCT233,_complete_genome.	MF754112_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	OP117450_Vibrio_phage_SSJ01,_complete_genome.	NC_048036_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	OK349506_Vibrio_phage_vB_VpaP_AL-1,_complete_genome.	vB_VpP_AC2_0	MT501516_Vibrio_phage_vB_VpaP_MGD1,_complete_genome.	ON872379_Vibrio_phage_vB_VpaP_1701,_complete_genome.
ON864052_Vibrio_phage_vB_VpP_AC2,_complete_genome.	1.0	0.793565958175312	0.8294580174685643	0.8290285231070413	0.8290506032330744	0.7669019838907186	0.810221173932686	0.8038172111266986	0.8173559080004404	0.8038172111266986	0.8087576652003853	1.0	0.8619763606731422	0.8525225114072736
OQ302138_Vibrio_phage_VP9,_complete_genome.	0.8104372799352242	1.0	0.8726289864413891	0.8604323494457987	0.8604549581129559	0.8252157496665593	0.902737421968158	0.866976415432553	0.8962276712998746	0.866976415432553	0.8412642174492941	0.8104372799352242	0.8623420442498736	0.8933894835568048
OQ999171_Vibrio_phage_VPy02,_complete_genome.	0.8892535400897273	0.8587174993788105	1.0	0.9023908251550872	0.9024135265604792	0.8623108248015645	0.8938784231428681	0.9175696279984443	0.8967473950359621	0.9175696279984443	0.9176861967757309	0.8892535400897273	0.9142941469923935	0.9255931286366154
OK585160_Vibrio_phage_vB_VpP_HA7,_complete_genome.	0.8535197012028316	0.8680067348414721	0.9279551016629749	1.0	0.9999772093023256	0.8683826094598913	0.8843422643809868	0.916448208042671	0.8766324419347373	0.916448208042671	0.8998778771851594	0.8535197012028316	0.9074754151308697	0.9010414144196521
OK585159_Vibrio_phage_vB_VpP_HA5,_complete_genome.	0.8535422840213861	0.8680294091066884	0.9279780752140708	0.9999772093023256	1.0	0.8684051867953847	0.8843648591281377	0.916470802658115	0.8766550663040963	0.916470802658115	0.8999005460569764	0.8535422840213861	0.9074980961724082	0.9010640843978075
ON457556_Vibrio_phage_vB_VpaP_C2,_complete_genome.	0.816104826527797	0.8178174013657057	0.8597227128919807	0.8434617425448084	0.8434842568024521	1.0	0.8323640230331742	0.8305836353060192	0.8046318097515367	0.8305836353060192	0.831112683864441	0.816104826527797	0.8251320059433485	0.839323421767174
MZ020222_Vibrio_phage_BUCT233,_complete_genome.	0.818727915925784	0.8903750217597409	0.9115010993285955	0.8869323306515065	0.8869550884044116	0.856938444576582	1.0	0.8800887962234462	0.9068033884080776	0.8800887962234462	0.8789102000569642	0.818727915925784	0.8599182064089222	0.8931460132385247
MF754112_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	0.8387945344968923	0.8820259296208991	0.8950801709125167	0.9153056964494733	0.9153282688026441	0.8306044858449428	0.8650931666877052	1.0	0.8706450984599848	1.0	0.842696508222065	0.8387945344968923	0.8735556553441509	0.8768742802322647
OP117450_Vibrio_phage_SSJ01,_complete_genome.	0.8148081513601229	0.8895916111340011	0.9005015498279069	0.8683655561709592	0.8683881044032125	0.839762879525749	0.8851151225364627	0.8838709942013225	1.0	0.8838709942013225	0.8516659293824426	0.8148081513601229	0.8672359094318286	0.8937617281657446
NC_048036_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	0.8387945344968923	0.8820259296208991	0.8950801709125167	0.9153056964494733	0.9153282688026441	0.8306044858449428	0.8650931666877052	1.0	0.8706450984599848	1.0	0.842696508222065	0.8387945344968923	0.8735556553441509	0.8768742802322647
OK349506_Vibrio_phage_vB_VpaP_AL-1,_complete_genome.	0.8392215765893006	0.8440557887245067	0.9216274384837002	0.892836582792738	0.892859603210902	0.8701521698005822	0.8845172671361754	0.8408720888795004	0.8555031055832983	0.8408720888795004	1.0	0.8392215765893006	0.895434493483689	0.8957474705380833
vB_VpP_AC2_0	1.0	0.793565958175312	0.8294580174685643	0.8290285231070413	0.8290506032330744	0.7669019838907186	0.810221173932686	0.8038172111266986	0.8173559080004404	0.8038172111266986	0.8087576652003853	1.0	0.8619763606731422	0.8525225114072736
MT501516_Vibrio_phage_vB_VpaP_MGD1,_complete_genome.	0.9367046129456826	0.8499952108108109	0.8836828480551557	0.8783627500577502	0.8783853286555787	0.8220610112035113	0.8692841622314623	0.89012905271876	0.8847865727228166	0.89012905271876	0.8837189222222224	0.9367046129456826	1.0	0.9442774528947553
ON872379_Vibrio_phage_vB_VpaP_1701,_complete_genome.	0.8676912929630195	0.8670752518088161	0.917685916004072	0.8942156078453666	0.8942376698502937	0.8565561386834485	0.8919351218014671	0.870490123268487	0.8713727212523746	0.870490123268487	0.8719813972739499	0.8676912929630195	0.908522143479791	1.0
