Genome,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score
AB002632,preVC_0,Clustered,VC_0_0,3,1.0,0.0,1.74535599249993,0.0,1.0
AB008550,preVC_2,Clustered,VC_2_0,4,0.1399,0.99997346,2.8971349516932583,0.1399,1.0
AB009866,preVC_8,Clustered,VC_8_0,28,0.3981,1.0,7.403544795784667,0.3981,0.9921
AB012573,preVC_16,Clustered,VC_16_0,7,0.2937,0.99981581,2.248354472570565,0.2936,1.0
AB012574,preVC_16,Clustered,VC_16_0,7,0.2937,0.99981581,2.248354472570565,0.2936,1.0
AB016282,preVC_19,Clustered,VC_19_0,4,0.9025,0.99979172,4.735973567771237,0.9023,1.0
AB036666,preVC_25,Clustered,VC_25_0,11,0.5256,1.0,5.517071790265978,0.5256,1.0
AB043678,preVC_17,Clustered,VC_17_0,9,0.7003,1.0,2.0249664724335883,0.7003,1.0
AB043679,preVC_17,Clustered,VC_17_0,9,0.7003,1.0,2.0249664724335883,0.7003,1.0
AB044554,preVC_8,Clustered,VC_8_0,28,0.3981,1.0,7.403544795784667,0.3981,0.9921
AB045978,preVC_9,Clustered,VC_9_0,61,0.846,1.0,6.7923832436837985,0.846,0.9852
AB063393,preVC_32,Clustered,VC_32_0,2,1.0,0.0,2.8284271247461903,0.0,1.0
AB102868,preVC_33,Clustered,VC_33_0,45,0.5895,1.0,7.126838679162322,0.5895,0.9636
AB231700,preVC_45,Clustered,VC_45_0,3,1.0,0.0,4.657334286600068,0.0,1.0
AB243556,preVC_8,Clustered,VC_8_0,28,0.3981,1.0,7.403544795784667,0.3981,0.9921
AB255436,,Outlier,,,,,,,
AB259123,preVC_57,Clustered,VC_57_0,88,0.9997,1.0,1.1209307734749863,0.9997,1.0
AB259124,preVC_58,Clustered,VC_58_0,6,0.6749,0.9999998,1.4547416971511786,0.6749,1.0
AB276040,preVC_1,Clustered,VC_1_0,54,0.8386,1.0,5.331294686939304,0.8386,1.0
AB285204,preVC_38,Clustered,VC_38_0,10,0.1863,1.0,6.690279686354057,0.1863,1.0
AB334720,preVC_65,Clustered,VC_65_0,12,0.6893,1.0,0.5491309195018075,0.6893,1.0
AB334721,preVC_65,Clustered,VC_65_0,12,0.6893,1.0,0.5491309195018075,0.6893,1.0
