	MN102376_Vibrio_phage_vB_VpS_CA8,_complete_genome.	MN175679_Vibrio_phage_vB_VpS_BA3,_complete_genome.	BA3_CA8_1
MN102376_Vibrio_phage_vB_VpS_CA8,_complete_genome.	58480.0	52718.0	58480.0
MN175679_Vibrio_phage_vB_VpS_BA3,_complete_genome.	51192.0	58648.0	51192.0
BA3_CA8_1	58480.0	52718.0	58480.0
