	ON864052_Vibrio_phage_vB_VpP_AC2,_complete_genome.	OQ302138_Vibrio_phage_VP9,_complete_genome.	OQ999171_Vibrio_phage_VPy02,_complete_genome.	OK585160_Vibrio_phage_vB_VpP_HA7,_complete_genome.	OK585159_Vibrio_phage_vB_VpP_HA5,_complete_genome.	ON457556_Vibrio_phage_vB_VpaP_C2,_complete_genome.	MZ020222_Vibrio_phage_BUCT233,_complete_genome.	MF754112_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	OP117450_Vibrio_phage_SSJ01,_complete_genome.	NC_048036_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	OK349506_Vibrio_phage_vB_VpaP_AL-1,_complete_genome.	vB_VpP_AC2_0	MT501516_Vibrio_phage_vB_VpaP_MGD1,_complete_genome.	ON872379_Vibrio_phage_vB_VpaP_1701,_complete_genome.
ON864052_Vibrio_phage_vB_VpP_AC2,_complete_genome.	0.0	2731.0	1957.0	2193.0	2192.0	4025.0	3041.0	2433.0	2825.0	2433.0	2072.0	0.0	1715.0	2135.0
OQ302138_Vibrio_phage_VP9,_complete_genome.	2670.0	0.0	2927.0	2732.0	2731.0	4265.0	1617.0	2295.0	2298.0	2295.0	3208.0	2670.0	2654.0	2378.0
OQ999171_Vibrio_phage_VPy02,_complete_genome.	2044.0	2840.0	0.0	2073.0	2072.0	4574.0	2925.0	2269.0	2673.0	2269.0	2143.0	2044.0	1547.0	2069.0
OK585160_Vibrio_phage_vB_VpP_HA7,_complete_genome.	1974.0	2511.0	2044.0	0.0	1.0	4324.0	2684.0	2280.0	2037.0	2280.0	2117.0	1974.0	1816.0	2079.0
OK585159_Vibrio_phage_vB_VpP_HA5,_complete_genome.	1973.0	2510.0	2043.0	1.0	0.0	4323.0	2683.0	2279.0	2036.0	2279.0	2116.0	1973.0	1815.0	2078.0
ON457556_Vibrio_phage_vB_VpaP_C2,_complete_genome.	4244.0	4347.0	4616.0	4279.0	4278.0	0.0	4772.0	4206.0	4292.0	4206.0	3916.0	4244.0	4129.0	4438.0
MZ020222_Vibrio_phage_BUCT233,_complete_genome.	2983.0	1507.0	3067.0	2871.0	2870.0	4642.0	0.0	2486.0	1849.0	2486.0	3548.0	2983.0	2526.0	2097.0
MF754112_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	2420.0	2430.0	2096.0	2287.0	2286.0	4088.0	2396.0	0.0	1993.0	0.0	2535.0	2420.0	2167.0	1945.0
OP117450_Vibrio_phage_SSJ01,_complete_genome.	2718.0	2246.0	2707.0	2234.0	2233.0	4400.0	1737.0	2157.0	0.0	2157.0	2796.0	2718.0	2350.0	2268.0
NC_048036_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	2420.0	2430.0	2096.0	2287.0	2286.0	4088.0	2396.0	0.0	1993.0	0.0	2535.0	2420.0	2167.0	1945.0
OK349506_Vibrio_phage_vB_VpaP_AL-1,_complete_genome.	2076.0	3186.0	2103.0	1995.0	1994.0	3933.0	3388.0	2478.0	2869.0	2478.0	0.0	2076.0	1921.0	2813.0
vB_VpP_AC2_0	0.0	2731.0	1957.0	2193.0	2192.0	4025.0	3041.0	2433.0	2825.0	2433.0	2072.0	0.0	1715.0	2135.0
MT501516_Vibrio_phage_vB_VpaP_MGD1,_complete_genome.	1941.0	2616.0	1436.0	1841.0	1840.0	3945.0	2473.0	2143.0	2494.0	2143.0	1970.0	1941.0	0.0	2007.0
ON872379_Vibrio_phage_vB_VpaP_1701,_complete_genome.	2134.0	2333.0	2173.0	2236.0	2235.0	4550.0	2266.0	2019.0	2313.0	2019.0	2885.0	2134.0	1883.0	0.0
