	ON864052_Vibrio_phage_vB_VpP_AC2,_complete_genome.	OQ302138_Vibrio_phage_VP9,_complete_genome.	OQ999171_Vibrio_phage_VPy02,_complete_genome.	OK585160_Vibrio_phage_vB_VpP_HA7,_complete_genome.	OK585159_Vibrio_phage_vB_VpP_HA5,_complete_genome.	ON457556_Vibrio_phage_vB_VpaP_C2,_complete_genome.	MZ020222_Vibrio_phage_BUCT233,_complete_genome.	MF754112_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	OP117450_Vibrio_phage_SSJ01,_complete_genome.	NC_048036_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	OK349506_Vibrio_phage_vB_VpaP_AL-1,_complete_genome.	vB_VpP_AC2_0	MT501516_Vibrio_phage_vB_VpaP_MGD1,_complete_genome.	ON872379_Vibrio_phage_vB_VpaP_1701,_complete_genome.
ON864052_Vibrio_phage_vB_VpP_AC2,_complete_genome.	1.0	0.855116331601536	0.8738649198102553	0.8786988931556359	0.8786988931556359	0.8576236729161961	0.8784504178902192	0.8586175739778631	0.8807770499209396	0.8586175739778631	0.8554551615089225	1.0	0.9014230856110232	0.9011294330246217
OQ302138_Vibrio_phage_VP9,_complete_genome.	0.8713149059467414	1.0	0.9397967161845192	0.922802741112082	0.922802741112082	0.9228717288322679	0.9400266752518052	0.9193533551027917	0.9490180747826887	0.9193533551027917	0.9143172515292278	0.8713149059467414	0.9229407165524537	0.9475233408453295
OQ999171_Vibrio_phage_VPy02,_complete_genome.	0.9357414011273438	0.923938801334407	1.0	0.9497526745657425	0.9497526745657425	0.9662947198895663	0.9612331761187162	0.969285632117796	0.9583342919590475	0.969285632117796	0.9669849304037732	0.9357414011273438	0.9497756815828827	0.9728057057402508
OK585160_Vibrio_phage_vB_VpP_HA7,_complete_genome.	0.8987040037028465	0.9254802129136774	0.9746355010414256	1.0	1.0	0.9676000925711641	0.9452904420273085	0.9683406618838232	0.9234436473038649	0.9683406618838232	0.9483915760240685	0.8987040037028465	0.9489007174265216	0.9484378616061097
OK585159_Vibrio_phage_vB_VpP_HA5,_complete_genome.	0.8987040037028465	0.9254802129136774	0.9746355010414256	1.0	1.0	0.9676000925711641	0.9452904420273085	0.9683406618838232	0.9234436473038649	0.9683406618838232	0.9483915760240685	0.8987040037028465	0.9489007174265216	0.9484378616061097
ON457556_Vibrio_phage_vB_VpaP_C2,_complete_genome.	0.913804202878558	0.9175518462316642	0.9656274428656826	0.9419230238653608	0.9419230238653608	1.0	0.9425897824987355	0.9271163838690394	0.9026532395272912	0.9271163838690394	0.9211385478456798	0.913804202878558	0.9201499057341243	0.9412332735549731
MZ020222_Vibrio_phage_BUCT233,_complete_genome.	0.8864839865880448	0.9252399121285698	0.982703202682391	0.9521100705283848	0.9521100705283848	0.9636952248814892	1.0	0.9383512544802868	0.9501676494392415	0.9383512544802868	0.9597872586426176	0.8864839865880448	0.9180020811654527	0.9412648861140016
MF754112_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	0.8936219044777489	0.9375961075026967	0.9429207500401643	0.9673865644580111	0.9673865644580111	0.923940235477726	0.9197172431204241	1.0	0.9164352436253471	1.0	0.9006219733308852	0.8936219044777489	0.9229074384338206	0.9213467673452526
OP117450_Vibrio_phage_SSJ01,_complete_genome.	0.8766731284039508	0.9412443459798763	0.9628911658820272	0.9203360103387797	0.9203360103387797	0.9405750946182959	0.925113080402474	0.9347595310624942	1.0	0.9347595310624942	0.9154666297424536	0.8766731284039508	0.9210283393335179	0.9455367857472537
NC_048036_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	0.8936219044777489	0.9375961075026967	0.9429207500401643	0.9673865644580111	0.9673865644580111	0.923940235477726	0.9197172431204241	1.0	0.9164352436253471	1.0	0.9006219733308852	0.8936219044777489	0.9229074384338206	0.9213467673452526
OK349506_Vibrio_phage_vB_VpaP_AL-1,_complete_genome.	0.8876884304849022	0.9182573388715173	0.9705278387081719	0.9396089046530078	0.9396089046530078	0.9612404909693377	0.9634573202034816	0.8985858962990619	0.9219909460027068	0.8985858962990619	1.0	0.8876884304849022	0.9404256312129556	0.9611238157464881
vB_VpP_AC2_0	1.0	0.855116331601536	0.8738649198102553	0.8786988931556359	0.8786988931556359	0.8576236729161961	0.8784504178902192	0.8586175739778631	0.8807770499209396	0.8586175739778631	0.8554551615089225	1.0	0.9014230856110232	0.9011294330246217
MT501516_Vibrio_phage_vB_VpaP_MGD1,_complete_genome.	0.9826980826980827	0.9117117117117117	0.9167244167244167	0.9215754215754216	0.9215754215754216	0.9142989142989143	0.9262647262647262	0.941048741048741	0.9422730422730423	0.941048741048741	0.9290598290598291	0.9826980826980827	1.0	0.9915915915915916
ON872379_Vibrio_phage_vB_VpaP_1701,_complete_genome.	0.9183172256964184	0.920318362706083	0.9676407049459921	0.9455144968732234	0.9455144968732234	0.9611370096645822	0.9431040363843093	0.9179079022171689	0.9234792495736214	0.9179079022171689	0.9376918703808982	0.9183172256964184	0.9512222853894258	1.0
