Name	Description	Coverage%	Identity%	Target	Target_Total_Name
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_2	DNA primase	99.9	100.0	MN175679_00002	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_2	DNA primase	99.9	99.6	MH925093_00002	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_2	DNA primase	99.9	99.4	MN102376_00002	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_2	DNA primase	99.9	99.2	MW423739_00009	MW423739 Vibrio phage PH669 Scaffold3 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_2	DNA primase	99.9	99.1	OK349507_00002	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_2	DNA primase	99.9	90.2	MT135025_00481	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_3	MazG-like pyrophosphatase	99.4	100.0	OK349507_00004	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_3	MazG-like pyrophosphatase	99.4	100.0	MN175679_00003	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_3	MazG-like pyrophosphatase	99.4	100.0	MH925093_00003	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_3	MazG-like pyrophosphatase	99.4	98.9	MW423739_00010	MW423739 Vibrio phage PH669 Scaffold3 genomic sequence, sequence.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_3	MazG-like pyrophosphatase	98.9	99.4	MN102376_00003	MN102376 Vibrio phage vB_VpS_CA8, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_3	MazG-like pyrophosphatase	99.4	95.4	MT135025_00479	MT135025 Vibrio phage V07, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_4	peptidase HslV family protein	99.5	100.0	MN175679_00004	MN175679 Vibrio phage vB_VpS_BA3, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_4	peptidase HslV family protein	99.5	100.0	MH925093_00004	MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_4	peptidase HslV family protein	99.5	99.5	OK349507_00005	OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome_4	peptidase HslV family protein	99.5	99.5	MW423739_00011	MW423739 Vibrio phage PH669 Scaffold3 genomic sequence, sequence.
