	ON864052_Vibrio_phage_vB_VpP_AC2,_complete_genome.	OQ302138_Vibrio_phage_VP9,_complete_genome.	OQ999171_Vibrio_phage_VPy02,_complete_genome.	OK585160_Vibrio_phage_vB_VpP_HA7,_complete_genome.	OK585159_Vibrio_phage_vB_VpP_HA5,_complete_genome.	ON457556_Vibrio_phage_vB_VpaP_C2,_complete_genome.	MZ020222_Vibrio_phage_BUCT233,_complete_genome.	MF754112_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	OP117450_Vibrio_phage_SSJ01,_complete_genome.	NC_048036_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	OK349506_Vibrio_phage_vB_VpaP_AL-1,_complete_genome.	vB_VpP_AC2_0	MT501516_Vibrio_phage_vB_VpaP_MGD1,_complete_genome.	ON872379_Vibrio_phage_vB_VpaP_1701,_complete_genome.
ON864052_Vibrio_phage_vB_VpP_AC2,_complete_genome.	44270.0	37856.0	38686.0	38900.0	38900.0	37967.0	38889.0	38011.0	38992.0	38011.0	37871.0	44270.0	39906.0	39893.0
OQ302138_Vibrio_phage_VP9,_complete_genome.	37890.0	43486.0	40868.0	40129.0	40129.0	40132.0	40878.0	39979.0	41269.0	39979.0	39760.0	37890.0	40135.0	41204.0
OQ999171_Vibrio_phage_VPy02,_complete_genome.	40672.0	40159.0	43465.0	41281.0	41281.0	42000.0	41780.0	42130.0	41654.0	42130.0	42030.0	40672.0	41282.0	42283.0
OK585160_Vibrio_phage_vB_VpP_HA7,_complete_genome.	38833.0	39990.0	42114.0	43210.0	43210.0	41810.0	40846.0	41842.0	39902.0	41842.0	40980.0	38833.0	41002.0	40982.0
OK585159_Vibrio_phage_vB_VpP_HA5,_complete_genome.	38833.0	39990.0	42114.0	43210.0	43210.0	41810.0	40846.0	41842.0	39902.0	41842.0	40980.0	38833.0	41002.0	40982.0
ON457556_Vibrio_phage_vB_VpaP_C2,_complete_genome.	39745.0	39908.0	41999.0	40968.0	40968.0	43494.0	40997.0	40324.0	39260.0	40324.0	40064.0	39745.0	40021.0	40938.0
MZ020222_Vibrio_phage_BUCT233,_complete_genome.	38336.0	40012.0	42497.0	41174.0	41174.0	41675.0	43245.0	40579.0	41090.0	40579.0	41506.0	38336.0	39699.0	40705.0
MF754112_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	38936.0	40852.0	41084.0	42150.0	42150.0	40257.0	40073.0	43571.0	39930.0	43571.0	39241.0	38936.0	40212.0	40144.0
OP117450_Vibrio_phage_SSJ01,_complete_genome.	37988.0	40786.0	41724.0	39880.0	39880.0	40757.0	40087.0	40505.0	43332.0	40505.0	39669.0	37988.0	39910.0	40972.0
NC_048036_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	38936.0	40852.0	41084.0	42150.0	42150.0	40257.0	40073.0	43571.0	39930.0	43571.0	39241.0	38936.0	40212.0	40144.0
OK349506_Vibrio_phage_vB_VpaP_AL-1,_complete_genome.	38041.0	39351.0	41591.0	40266.0	40266.0	41193.0	41288.0	38508.0	39511.0	38508.0	42854.0	38041.0	40301.0	41188.0
vB_VpP_AC2_0	44270.0	37856.0	38686.0	38900.0	38900.0	37967.0	38889.0	38011.0	38992.0	38011.0	37871.0	44270.0	39906.0	39893.0
MT501516_Vibrio_phage_vB_VpaP_MGD1,_complete_genome.	42541.0	39468.0	39685.0	39895.0	39895.0	39580.0	40098.0	40738.0	40791.0	40738.0	40219.0	42541.0	43290.0	42926.0
ON872379_Vibrio_phage_vB_VpaP_1701,_complete_genome.	40383.0	40471.0	42552.0	41579.0	41579.0	42266.0	41473.0	40365.0	40610.0	40365.0	41235.0	40383.0	41830.0	43975.0
