	ON864052_Vibrio_phage_vB_VpP_AC2,_complete_genome.	OQ302138_Vibrio_phage_VP9,_complete_genome.	OQ999171_Vibrio_phage_VPy02,_complete_genome.	OK585160_Vibrio_phage_vB_VpP_HA7,_complete_genome.	OK585159_Vibrio_phage_vB_VpP_HA5,_complete_genome.	ON457556_Vibrio_phage_vB_VpaP_C2,_complete_genome.	MZ020222_Vibrio_phage_BUCT233,_complete_genome.	MF754112_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	OP117450_Vibrio_phage_SSJ01,_complete_genome.	NC_048036_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	OK349506_Vibrio_phage_vB_VpaP_AL-1,_complete_genome.	vB_VpP_AC2_0	MT501516_Vibrio_phage_vB_VpaP_MGD1,_complete_genome.	ON872379_Vibrio_phage_vB_VpaP_1701,_complete_genome.
ON864052_Vibrio_phage_vB_VpP_AC2,_complete_genome.	1.0	0.9280210526315792	0.9491833333333335	0.9434728205128206	0.9434979487179487	0.8942173684210528	0.9223300000000002	0.9361760526315789	0.9279941025641029	0.9361760526315789	0.945412105263158	1.0	0.9562395000000001	0.94606
OQ302138_Vibrio_phage_VP9,_complete_genome.	0.9301313157894737	1.0	0.9285295121951219	0.9324120000000001	0.9324365	0.8941825	0.9603317073170732	0.9430285	0.9443736585365854	0.9430285	0.9201010000000001	0.9301313157894737	0.9343417500000001	0.9428680487804877
OQ999171_Vibrio_phage_VPy02,_complete_genome.	0.9503197560975609	0.9294095	1.0	0.9501324390243905	0.9501563414634149	0.8923890476190477	0.9299288095238096	0.9466452380952382	0.9357354761904761	0.9466452380952382	0.9490180952380952	0.9503197560975609	0.9626421951219511	0.9514676190476192
OK585160_Vibrio_phage_vB_VpP_HA7,_complete_genome.	0.9497228205128204	0.9378987500000001	0.952104761904762	1.0	0.9999772093023256	0.8974602380952381	0.9355243902439024	0.9464109523809525	0.949308	0.9464109523809525	0.9488463414634147	0.9497228205128204	0.9563439024390245	0.9500268292682926
OK585159_Vibrio_phage_vB_VpP_HA5,_complete_genome.	0.9497479487179485	0.9379232500000001	0.9521283333333334	0.9999772093023256	1.0	0.8974835714285715	0.9355482926829268	0.9464342857142859	0.9493325	0.9464342857142859	0.948870243902439	0.9497479487179485	0.9563678048780488	0.9500507317073169
ON457556_Vibrio_phage_vB_VpaP_C2,_complete_genome.	0.893085	0.8913037500000001	0.8903254761904762	0.8954678048780487	0.8954917073170731	1.0	0.8830607317073171	0.8958785	0.891407435897436	0.8958785	0.90226675	0.893085	0.8967364999999999	0.8917273170731708
MZ020222_Vibrio_phage_BUCT233,_complete_genome.	0.9235676315789475	0.9623179999999999	0.9275446511627906	0.9315439024390245	0.9315678048780488	0.8892214285714286	1.0	0.937909756097561	0.9543614634146342	0.937909756097561	0.9157343902439025	0.9235676315789475	0.9367279487179486	0.9488785000000001
MF754112_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	0.9386458974358973	0.9407312195121952	0.9492634146341463	0.9461633333333334	0.9461866666666667	0.8989807500000001	0.9406077500000001	1.0	0.9500345	1.0	0.9356828205128206	0.9386458974358973	0.94652575	0.9517310000000001
OP117450_Vibrio_phage_SSJ01,_complete_genome.	0.929432105263158	0.9451229268292682	0.9352059523809524	0.9435310000000001	0.9435555000000001	0.8928185365853659	0.95676425	0.945559756097561	1.0	0.945559756097561	0.930308	0.929432105263158	0.94159525	0.9452426829268292
NC_048036_Vibrio_phage_vB_VpaP_KF2,_complete_genome.	0.9386458974358973	0.9407312195121952	0.9492634146341463	0.9461633333333334	0.9461866666666667	0.8989807500000001	0.9406077500000001	1.0	0.9500345	1.0	0.9356828205128206	0.9386458974358973	0.94652575	0.9517310000000001
OK349506_Vibrio_phage_vB_VpaP_AL-1,_complete_genome.	0.9454010526315788	0.9191930769230772	0.9496146341463415	0.9502214999999999	0.9502459999999999	0.9052387804878049	0.9180658536585365	0.9357726315789475	0.9278866666666667	0.9357726315789475	1.0	0.9454010526315788	0.9521587500000002	0.9319792682926828
vB_VpP_AC2_0	1.0	0.9280210526315792	0.9491833333333335	0.9434728205128206	0.9434979487179487	0.8942173684210528	0.9223300000000002	0.9361760526315789	0.9279941025641029	0.9361760526315789	0.945412105263158	1.0	0.9562395000000001	0.94606
MT501516_Vibrio_phage_vB_VpaP_MGD1,_complete_genome.	0.9531967441860465	0.932307	0.963956923076923	0.9531100000000001	0.9531345	0.8991162500000001	0.9384835000000001	0.945890487804878	0.938991707317073	0.945890487804878	0.9511970000000001	0.9531967441860465	1.0	0.9522846511627907
ON872379_Vibrio_phage_vB_VpaP_1701,_complete_genome.	0.9448709756097562	0.9421470731707318	0.9483746511627906	0.9457449999999998	0.9457683333333333	0.891190465116279	0.9457441463414634	0.9483414634146342	0.9435758536585367	0.9483414634146342	0.9299231707317073	0.9448709756097562	0.9551102380952381	1.0
