	MN175679_Vibrio_phage_vB_VpS_BA3,_complete_genome.	MN102376_Vibrio_phage_vB_VpS_CA8,_complete_genome.	BA3_CA8_0
MN175679_Vibrio_phage_vB_VpS_BA3,_complete_genome.	58648.0	51192.0	58648.0
MN102376_Vibrio_phage_vB_VpS_CA8,_complete_genome.	52718.0	58480.0	52718.0
BA3_CA8_0	58648.0	51192.0	58648.0
