"qseqid"	"sseqid"	"qlen"	"slen"	"q_nident"	"q_aligned"	"s_nident"	"qs_nident"	"qs_len"	"interg_sim"	"fract_qslen"	"q_fract_aligned"	"s_fract_aligned"
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	43156	43156	43156	43156	43156	86312	86312	100	1	1	1
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"MW331544_Vibrio_phage_vB_Vc_SrVc2"	43156	43157	43152	43156	43152	86304	86313	99.99	1	1	1
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"OK349506_Vibrio_phage_vB_VpaP_AL-1"	43156	42854	41341	42800	41474	82815	86010	96.285	1	0.99	1
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"ON080941_Vibrio_phage_F23s2"	43156	43386	40691	42823	40890	81581	86542	94.268	1	0.99	0.99
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"OQ999171_Vibrio_phage_VPy02"	43156	43465	40104	42163	40207	80311	86621	92.715	1	0.98	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"MT501516_Vibrio_phage_vB_VpaP_MGD1"	43156	43290	40187	42301	40404	80591	86446	93.227	1	0.98	0.98
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"PP712941_Vibrio_phage_TCU_VP01_ZB"	43156	43338	39625	42246	39694	79319	86494	91.705	1	0.98	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"ON872379_Vibrio_phage_vB_VpaP_1701"	43156	43975	39675	42660	40622	80297	87131	92.157	1	0.99	0.98
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"MZ020222_Vibrio_phage_BUCT233"	43156	43245	39079	42208	39067	78146	86401	90.446	1	0.98	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"MW250641_Vibrio_phage_vB_VpP_DE17"	43156	43394	38738	42187	38837	77575	86550	89.63	1	0.98	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"MT178448_Vibrio_phage_vB_VpP_FE11"	43156	43397	38485	42176	38594	77079	86553	89.054	1	0.98	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"NC_048167_Vibrio_phage_vB_VpaS_OWB"	43156	43264	38307	41924	38301	76608	86420	88.646	1	0.97	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"MN974282_Vibrio_phage_OWB"	43156	43264	38307	41924	38301	76608	86420	88.646	1	0.97	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"MK474470_Vibrio_phage_vB_VpaS_OWB"	43156	43264	38307	41924	38301	76608	86420	88.646	1	0.97	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"OK585158_Vibrio_phage_vB_VpP_HA1"	43156	42987	39678	42080	39678	79356	86143	92.121	1	0.98	0.98
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"OK585159_Vibrio_phage_vB_VpP_HA5"	43156	43210	39566	42064	39566	79132	86366	91.624	1	0.97	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"OK585160_Vibrio_phage_vB_VpP_HA7"	43156	43210	39565	42064	39565	79130	86366	91.622	1	0.97	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"NC_048036_Vibrio_phage_vB_VpaP_KF2"	43156	43571	39576	42059	39576	79152	86727	91.266	1	0.97	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"MF754112_Vibrio_phage_vB_VpaP_KF2"	43156	43571	39576	42059	39576	79152	86727	91.266	1	0.97	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"OM799543_Vibrio_phage_OY1"	43156	43479	39673	42360	39749	79422	86635	91.674	1	0.98	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"vB_VpP_AC2"	43156	44270	39882	42530	40960	80842	87426	92.469	1	0.99	0.98
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"ON864052_Vibrio_phage_vB_VpP_AC2"	43156	44270	39882	42530	40960	80842	87426	92.469	1	0.99	0.98
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"OR726634_Vibrio_phage_VP17802"	43156	42896	39667	42118	39722	79389	86052	92.257	1	0.98	0.98
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"ON457555_Vibrio_phage_vB_VpaP_M9"	43156	43268	38407	42154	38483	76890	86424	88.968	1	0.98	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"ON457557_Vibrio_phage_vB_VpaP_M3"	43156	43446	38472	42183	38543	77015	86602	88.93	1	0.98	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"OQ302138_Vibrio_phage_VP9"	43156	43486	38513	41780	38703	77216	86642	89.121	1	0.97	0.96
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"OM362522_Vibrio_phage_vB_VpaP_GHSM17"	43156	43228	38957	42066	39025	77982	86384	90.274	1	0.97	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"ON457554_Vibrio_phage_vB_VpaP_M83"	43156	43901	38572	42733	39215	77787	87057	89.352	1	0.99	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"ON457556_Vibrio_phage_vB_VpaP_C2"	43156	43494	38469	42229	38571	77040	86650	88.909	1	0.98	0.97
"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	"OP117450_Vibrio_phage_SSJ01"	43156	43332	38821	41876	38948	77769	86488	89.919	1	0.97	0.96
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"NC_048036_Vibrio_phage_vB_VpaP_KF2"	43571	43571	43571	43571	43571	87142	87142	100	1	1	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"MF754112_Vibrio_phage_vB_VpaP_KF2"	43571	43571	43571	43571	43571	87142	87142	100	1	1	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"OK585158_Vibrio_phage_vB_VpP_HA1"	43571	42987	40381	42980	40381	80762	86558	93.304	1	0.99	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"ON080941_Vibrio_phage_F23s2"	43571	43386	39916	42643	40087	80003	86957	92.003	1	0.98	0.98
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"ON872379_Vibrio_phage_vB_VpaP_1701"	43571	43975	40490	43184	41427	81917	87546	93.57	1	0.99	0.99
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"MT501516_Vibrio_phage_vB_VpaP_MGD1"	43571	43290	40341	42884	40554	80895	86861	93.132	1	0.98	0.99
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"MZ020222_Vibrio_phage_BUCT233"	43571	43245	40386	42866	40373	80759	86816	93.023	1	0.98	0.99
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"OQ999171_Vibrio_phage_VPy02"	43571	43465	40908	43347	41029	81937	87036	94.142	1	0.99	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"OK585159_Vibrio_phage_vB_VpP_HA5"	43571	43210	40795	43249	40795	81590	86781	94.018	1	0.99	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"OK585160_Vibrio_phage_vB_VpP_HA7"	43571	43210	40794	43249	40794	81588	86781	94.016	1	0.99	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"PP712941_Vibrio_phage_TCU_VP01_ZB"	43571	43338	40721	43397	40827	81548	86909	93.831	1	1	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"MW250641_Vibrio_phage_vB_VpP_DE17"	43571	43394	40296	43357	40411	80707	86965	92.804	1	1	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"MT178448_Vibrio_phage_vB_VpP_FE11"	43571	43397	40273	43332	40373	80646	86968	92.731	1	0.99	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"OK349506_Vibrio_phage_vB_VpaP_AL-1"	43571	42854	39234	42266	39376	78610	86425	90.957	1	0.97	0.98
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"MW331544_Vibrio_phage_vB_Vc_SrVc2"	43571	43157	39581	42057	39581	79162	86728	91.276	1	0.97	0.97
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"LR794124_Vibrio_phage_vB_Vc_SrVc9_genome_assembly"	43571	43156	39576	42057	39576	79152	86727	91.266	1	0.97	0.97
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"NC_048167_Vibrio_phage_vB_VpaS_OWB"	43571	43264	38691	43067	38685	77376	86835	89.107	1	0.99	0.99
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"MN974282_Vibrio_phage_OWB"	43571	43264	38691	43067	38685	77376	86835	89.107	1	0.99	0.99
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"MK474470_Vibrio_phage_vB_VpaS_OWB"	43571	43264	38691	43067	38685	77376	86835	89.107	1	0.99	0.99
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"OQ302138_Vibrio_phage_VP9"	43571	43486	39980	42590	40186	80166	87057	92.084	1	0.98	0.98
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"OM362522_Vibrio_phage_vB_VpaP_GHSM17"	43571	43228	40985	43325	41053	82038	86799	94.515	1	0.99	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"OP117450_Vibrio_phage_SSJ01"	43571	43332	40248	42709	40375	80623	86903	92.774	1	0.98	0.98
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"OM799543_Vibrio_phage_OY1"	43571	43479	40828	43304	40901	81729	87050	93.887	1	0.99	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"vB_VpP_AC2"	43571	44270	39906	42704	40977	80883	87841	92.079	1	0.98	0.99
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"ON864052_Vibrio_phage_vB_VpP_AC2"	43571	44270	39906	42704	40977	80883	87841	92.079	1	0.98	0.99
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"ON457555_Vibrio_phage_vB_VpaP_M9"	43571	43268	38903	43326	38979	77882	86839	89.686	1	0.99	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"OR726634_Vibrio_phage_VP17802"	43571	42896	40438	42705	40493	80931	86467	93.598	1	0.98	0.99
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"ON457557_Vibrio_phage_vB_VpaP_M3"	43571	43446	38887	43345	38975	77862	87017	89.479	1	0.99	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"ON457554_Vibrio_phage_vB_VpaP_M83"	43571	43901	38952	43920	39607	78559	87472	89.81	1	1.01	1
"MF754112_Vibrio_phage_vB_VpaP_KF2"	"ON457556_Vibrio_phage_vB_VpaP_C2"	43571	43494	38884	43389	39025	77909	87065	89.484	1	1	1
"MK474470_Vibrio_phage_vB_VpaS_OWB"	"NC_048167_Vibrio_phage_vB_VpaS_OWB"	43264	43264	43264	43264	43264	86528	86528	100	1	1	1
"MK474470_Vibrio_phage_vB_VpaS_OWB"	"MN974282_Vibrio_phage_OWB"	43264	43264	43264	43264	43264	86528	86528	100	1	1	1
"MK474470_Vibrio_phage_vB_VpaS_OWB"	"MK474470_Vibrio_phage_vB_VpaS_OWB"	43264	43264	43264	43264	43264	86528	86528	100	1	1	1
"MK474470_Vibrio_phage_vB_VpaS_OWB"	"OQ999171_Vibrio_phage_VPy02"	43264	43465	38922	43183	39046	77968	86729	89.898	1	1	0.99
"MK474470_Vibrio_phage_vB_VpaS_OWB"	"PP712941_Vibrio_phage_TCU_VP01_ZB"	43264	43338	38773	43157	38860	77633	86602	89.643	1	1	1
"MK474470_Vibrio_phage_vB_VpaS_OWB"	"OK349506_Vibrio_phage_vB_VpaP_AL-1"	43264	42854	38353	41963	38483	76836	86118	89.222	1	0.97	0.98
"MK474470_Vibrio_phage_vB_VpaS_OWB"	"MW250641_Vibrio_phage_vB_VpP_DE17"	43264	43394	38356	42964	38451	76807	86658	88.632	1	0.99	0.99
"MK474470_Vibrio_phage_vB_VpaS_OWB"	"MT178448_Vibrio_phage_vB_VpP_FE11"	43264	43397	38131	42973	38208	76339	86661	88.089	1	0.99	0.99
"MK474470_Vibrio_phage_vB_VpaS_OWB"	"MT501516_Vibrio_phage_vB_VpaP_MGD1"	43264	43290	38436	42871	38647	77083	86554	89.058	1	0.99	0.99
"MK474470_Vibrio_phage_vB_VpaS_OWB"	"ON872379_Vibrio_phage_vB_VpaP_1701"	43264	43975	38153	42918	39040	77193	87239	88.485	1	0.99	0.99
