Accession	identity%	coverage%
ON864052 Vibrio phage vB_VpP_AC2, complete genome.	100.0	100.0
MZ020222 Vibrio phage BUCT233, complete genome.	94.27000000000001	79.40000000000002
MZ516827 Vibrio phage vB_VpP_DE10, complete genome.	94.38	62.20000000000001
ON872379 Vibrio phage vB_VpaP_1701, complete genome.	94.78	89.2
OP117450 UNVERIFIED_ORG: Vibrio phage SSJ01, complete genome.	93.44	80.90000000000002
ON080940 Vibrio phage H256D1, complete genome.	95.38571428571427	63.70000000000001
NC_048035 Vibrio phage vB_VpaP_KF1, complete genome.	94.41	71.10000000000002
MF754111 Vibrio phage vB_VpaP_KF1, complete genome.	94.41	71.10000000000002
MZ182247 Vibrio phage vB_VpP_DE18, complete genome.	92.97	64.1
ON080941 Vibrio phage F23s2, complete genome.	95.34	75.50000000000003
OM362522 Vibrio phage vB_VpaP_GHSM17, complete genome.	92.60999999999999	86.20000000000002
MW250641 Vibrio phage vB_VpP_DE17, complete genome.	92.17999999999999	77.60000000000002
OM799543 Vibrio phage OY1, complete genome.	94.28999999999999	86.19999999999999
OK585158 Vibrio phage vB_VpP_HA1, complete genome.	95.65	77.49999999999999
OK585160 Vibrio phage vB_VpP_HA7, complete genome.	94.91999999999999	82.0
OK585159 Vibrio phage vB_VpP_HA5, complete genome.	94.91999999999999	82.0
OK349506 Vibrio phage vB_VpaP_AL-1, complete genome.	94.02000000000001	82.19999999999999
NC_048036 Vibrio phage vB_VpaP_KF2, complete genome.	94.58	84.39999999999999
MF754112 Vibrio phage vB_VpaP_KF2, complete genome.	94.58	84.39999999999999
MZ592921 Vibrio phage vB_VpP_NS8, complete genome.	92.76	74.80000000000003
ON457556 Vibrio phage vB_VpaP_C2, complete genome.	88.63000000000001	86.50000000000001
MT501516 Vibrio phage vB_VpaP_MGD1, complete genome.	95.78999999999999	82.5
MW331544 Vibrio phage vB_Vc_SrVc2, complete genome.	93.37	88.39999999999999
LR794124 Vibrio phage vB_Vc_SrVc9 genome assembly, chromosome: 1.	93.35999999999999	88.39999999999999
ON457557 Vibrio phage vB_VpaP_M3, complete genome.	88.89	88.99999999999999
NC_048167 Vibrio phage vB_VpaS_OWB, complete genome.	89.89999999999999	84.89999999999999
MN974282 Vibrio phage OWB, complete genome.	89.89999999999999	84.89999999999999
MK474470 UNVERIFIED: Vibrio phage vB_VpaS_OWB, complete genome.	89.89999999999999	84.89999999999999
NC_012662 Vibrio phage VP93, complete genome.	94.39000000000001	74.7
FJ896200 Vibrio phage VP93, complete genome.	94.39000000000001	74.7
ON457555 Vibrio phage vB_VpaP_M9, complete genome.	89.77000000000001	81.39999999999999
ON457554 Vibrio phage vB_VpaP_M83, complete genome.	88.91999999999999	86.4
MT178448 Vibrio phage vB_VpP_FE11, complete genome.	91.9	81.1
FR687252 Pantoea phage LIMElight complete genome.	71.34	5.6
NC_019454 Pantoea phage LIMElight, complete genome.	71.34	5.6
MW590329 Klebsiella phage Kp_Pokalde_001, complete genome.	72.9	6.0
KX587949 Klebsiella phage phiKpS2, complete genome.	73.3	5.8999999999999995
NC_047857 Klebsiella phage phiKpS2, complete genome.	73.3	5.8999999999999995
NC_048174 Shigella phage HRP29, complete genome.	70.425	6.1
MK562503 Shigella phage Buco, complete genome.	70.425	6.1
NC_027980 Enterobacter phage phiKDA1, complete genome.	71.36666666666666	4.9
