Accession	identity%	coverage%
MN175679 Vibrio phage vB_VpS_BA3, complete genome.	100.0	100.6
MH925093 UNVERIFIED: Vibrio phage VspDsh_1, complete genome.	99.44444444444443	73.3
MN102376 Vibrio phage vB_VpS_CA8, complete genome.	96.41	79.89999999999999
OK349507 Vibrio phage vB_VpaS_AL-2, complete genome.	96.88181818181819	61.30000000000001
MW423737 Vibrio phage PH669 Scaffold1 genomic sequence, sequence.	96.1	36.0
MT135025 Vibrio phage V07, complete genome.	88.82727272727273	55.1
MW423739 Vibrio phage PH669 Scaffold3 genomic sequence, sequence.	96.77499999999999	25.599999999999994
MW423738 Vibrio phage PH669 Scaffold2 genomic sequence, sequence.	92.65	30.4
MT135024 Vibrio phage V05, complete genome.	95.7	1.4000000000000001
KX198614 Vibrio phage vB_VhaS-tm, partial genome.	72.46666666666667	10.899999999999999
ON457559 Vibrio phage vB_VpaS_CHI, complete genome.	73.43333333333334	12.7
ON457558 Vibrio phage vB_VpaS_ALK, complete genome.	73.44444444444444	12.6
MW114771 Vibrio phage pVco-14, complete genome.	72.24444444444447	7.600000000000002
MT795651 Vibrio phage vB_VnaS-AQKL99, complete genome.	72.86666666666666	10.9
OP331229 Vibrio phage 033B, complete genome.	71.47999999999999	3.8000000000000007
MW451249 UNVERIFIED: Vibrio phage GH32, complete genome.	71.47999999999999	3.8000000000000007
MT345684 Alteromonas phage vB_AcoS-R7M, complete genome.	72.80000000000001	1.9000000000000004
NC_048878 Alteromonas phage vB_AcoS-R7M, complete genome.	72.80000000000001	1.9000000000000004
KX898400 Pseudomonas phage JG054, complete genome.	70.44999999999999	1.5
OP784576 Pseudomonas phage pPA-3099-2aT.3, complete genome.	70.3	0.8999999999999999
ON911540 Xanthomonas phage vB_Xar_IVIA-DoCa3, complete genome.	70.6	0.8999999999999999
OP882271 Pseudomonas phage MiCath, complete genome.	69.1	0.8999999999999999
MK373794 Escherichia phage vB_EcoS_HdK1, complete genome.	74.575	2.2
OM386652 Escherichia phage vB_EcoS_ESCO3, complete genome.	71.19999999999999	2.0
MW057861 Providencia phage PSTCR7, complete genome.	69.73333333333333	1.7000000000000002
ON922918 Escherichia phage vB_EcoM_PD328, complete genome.	72.94999999999999	1.7999999999999998
NC_028997 Enterobacteria phage JenP2, complete genome.	71.72500000000001	2.7
KP719133 Enterobacteria phage JenP2, complete genome.	71.72500000000001	2.7
MG948468 Pantoea phage vB_PagS_Vid5, complete genome.	71.63333333333334	2.1
NC_042120 Pantoea phage vB_PagS_Vid5, complete genome.	71.63333333333334	2.1
MK165087 Escherichia phage BRET, complete genome.	73.4	2.2
MZ501057 Escherichia phage ChristophMerian strain Bas19, complete genome.	70.76666666666667	1.9000000000000004
NC_029028 Enterobacteria phage JenP1, complete genome.	71.425	2.3
KP719132 Enterobacteria phage JenP1, complete genome.	71.425	2.3
MK373795 Escherichia phage vB_EcoS_HdSG1, complete genome.	75.525	1.8000000000000003
MW057856 Providencia phage PSTCR4, complete genome.	70.26666666666667	1.7000000000000002
MT682705 Escherichia phage vB_EcoS_SP8, complete genome.	71.08	2.9999999999999996
KY926791 Salmonella phage SE1 (in:Nonagvirus), complete genome.	72.52	2.0999999999999996
NC_042025 Salmonella phage SE1 (in:Nonagvirus), complete genome.	72.52	2.0999999999999996
MZ501068 Escherichia phage FritzHoffmann strain Bas20, complete genome.	72.56666666666668	1.8000000000000003
NC_024146 Enterobacteria phage 9g, complete genome.	72.26666666666667	1.7000000000000002
KJ419279 Enterobacteria phage 9g, complete genome.	72.26666666666667	1.7000000000000002
KX129925 Pseudomonas phage NP1, complete genome.	76.16666666666667	1.2
NC_031058 Pseudomonas phage NP1, complete genome.	76.16666666666667	1.2
NC_029021 Enterobacteria phage JenK1, complete genome.	70.5	2.4
KP719134 Enterobacteria phage JenK1, complete genome.	70.5	2.4
OL960573 Escherichia phage vB_EcoS_SA126VB, complete genome.	70.45	1.5
MZ501112 Escherichia phage WildeMaa strain Bas23, complete genome.	69.86666666666666	1.5
MZ501071 Escherichia phage GottfriedDienst strain Bas21, complete genome.	70.89999999999999	1.6
NC_026610 Vibrio phage VpKK5, complete genome.	71.95714285714284	4.2
KM378617 Vibrio phage VpKK5, complete genome.	71.95714285714284	4.2
MZ501110 Escherichia phage VogelGryff strain Bas25, complete genome.	70.36666666666666	1.5
KX898399 Pseudomonas phage JG012, complete genome.	68.15	1.5
MZ501104 Escherichia phage SeppeHuegi strain Bas24, complete genome.	70.66666666666667	2.4
KM236243 Escherichia phage Seurat, complete genome.	68.075	2.4
NC_027378 Escherichia phage Seurat, complete genome.	68.075	2.4
OL960575 Escherichia phage vB_EcoS_SA80RD, complete genome.	74.56666666666666	1.4000000000000001
MZ501091 Escherichia phage KurtStettler strain Bas22, complete genome.	72.05000000000001	1.3
LT907986 Escherichia phage vB_Eco_SLUR25 genome assembly, complete genome: monopartite.	68.39999999999999	1.4000000000000001
LR025196 Escherichia phage vB_Eco_SLUR63 genome assembly, complete genome: monopartite.	69.7	1.7000000000000002
MK672798 Escherichia phage Skure, complete genome.	69.96666666666667	1.5
LR025198 Escherichia phage vB_Eco_SLUR26 genome assembly, complete genome: monopartite.	71.95	1.3
LR025195 Escherichia phage vB_Eco_SLUR76 genome assembly, complete genome: monopartite.	71.95	1.3
NC_028831 Escherichia phage slur01, complete genome.	71.35	1.3
LN881725 Escherichia phage slur01, complete genome.	71.35	1.3
JQ067084 Pseudomonas phage PaMx25, complete genome.	72.6	1.2
NC_041953 Pseudomonas phage PaMx25, complete genome.	72.6	1.2
KP064094 Enterobacteria phage CAjan, complete genome.	70.0	1.9999999999999998
NC_028776 Enterobacteria phage CAjan, complete genome.	70.0	1.9999999999999998
LR025197 Escherichia phage vB_Eco_SLUR75 genome assembly, complete genome: monopartite.	69.86666666666667	1.7000000000000002
KX534337 Escherichia phage Greed, partial genome.	69.06666666666668	1.7999999999999998
MG592577 Vibrio phage 1.207.B._10N.222.51.C2, partial genome.	68.3	1.0999999999999999
MG592491 Vibrio phage 1.117.O._10N.261.45.E9, partial genome.	69.33333333333333	1.4000000000000001
MG592667 Vibrio phage 2.117.O._10N.261.45.E9, partial genome.	69.26666666666667	1.4000000000000001
MW835180 Pseudomonas phage vB_PaeS_PAJD-1, complete genome.	68.9	0.8
MN504636 Pseudomonas phage Quinobequin-P09, complete genome.	74.2	0.5
OL539454 Escherichia phage vB_EcoS_OddieOddie, complete genome.	69.46666666666667	2.0999999999999996
NC_042137 Acinetobacter phage vB_AbaS_Loki genome assembly, complete genome: monopartite.	72.2	0.6
LN890663 Acinetobacter phage vB_AbaS_Loki genome assembly, complete genome: monopartite.	72.2	0.6
