Name	Description	Coverage%	Identity%	Target	Target_Total_Name
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	100.0	ON864052_00003	ON864052 Vibrio phage vB_VpP_AC2, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.8	MT501516_00011	MT501516 Vibrio phage vB_VpaP_MGD1, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.5	FJ896200_00012	FJ896200 Vibrio phage VP93, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	OK585160_00029	OK585160 Vibrio phage vB_VpP_HA7, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	OK585159_00029	OK585159 Vibrio phage vB_VpP_HA5, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	OK585158_00030	OK585158 Vibrio phage vB_VpP_HA1, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	OP117450_00026	OP117450 UNVERIFIED_ORG: Vibrio phage SSJ01, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	ON872379_00037	ON872379 Vibrio phage vB_VpaP_1701, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	ON080941_00038	ON080941 Vibrio phage F23s2, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	ON080940_00002	ON080940 Vibrio phage H256D1, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	OM362522_00039	OM362522 Vibrio phage vB_VpaP_GHSM17, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	OM799543_00011	OM799543 Vibrio phage OY1, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	MZ516827_00002	MZ516827 Vibrio phage vB_VpP_DE10, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	MZ182247_00002	MZ182247 Vibrio phage vB_VpP_DE18, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	MZ020222_00034	MZ020222 Vibrio phage BUCT233, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	MF754112_00022	MF754112 Vibrio phage vB_VpaP_KF2, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.1	MF754111_00036	MF754111 Vibrio phage vB_VpaP_KF1, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.3	OK349506_00011	OK349506 Vibrio phage vB_VpaP_AL-1, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.3	MW331544_00011	MW331544 Vibrio phage vB_Vc_SrVc2, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	99.3	LR794124_00011	LR794124 Vibrio phage vB_Vc_SrVc9 genome assembly, chromosome: 1.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	98.8	MZ592921_00047	MZ592921 Vibrio phage vB_VpP_NS8, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	98.8	MW250641_00038	MW250641 Vibrio phage vB_VpP_DE17, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	98.8	MT178448_00011	MT178448 Vibrio phage vB_VpP_FE11, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	98.6	ON457557_00011	ON457557 Vibrio phage vB_VpaP_M3, complete genome.
vB_VpP_AC2_3	DnaB-like replicative helicase	99.8	98.6	ON457556_00006	ON457556 Vibrio phage vB_VpaP_C2, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	100.0	ON864052_00004	ON864052 Vibrio phage vB_VpP_AC2, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	99.6	MT501516_00013	MT501516 Vibrio phage vB_VpaP_MGD1, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	99.4	MW331544_00013	MW331544 Vibrio phage vB_Vc_SrVc2, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	99.4	LR794124_00013	LR794124 Vibrio phage vB_Vc_SrVc9 genome assembly, chromosome: 1.
vB_VpP_AC2_4	DNA polymerase	99.9	99.1	FJ896200_00015	FJ896200 Vibrio phage VP93, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	99.3	ON080941_00036	ON080941 Vibrio phage F23s2, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	99.0	ON872379_00035	ON872379 Vibrio phage vB_VpaP_1701, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	99.1	MF754111_00038	MF754111 Vibrio phage vB_VpaP_KF1, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	97.3	OP117450_00024	OP117450 UNVERIFIED_ORG: Vibrio phage SSJ01, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	96.9	MZ020222_00032	MZ020222 Vibrio phage BUCT233, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	97.7	OK585158_00028	OK585158 Vibrio phage vB_VpP_HA1, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	97.5	OM799543_00013	OM799543 Vibrio phage OY1, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	97.4	OK349506_00013	OK349506 Vibrio phage vB_VpaP_AL-1, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	97.3	ON080940_00004	ON080940 Vibrio phage H256D1, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	97.2	OK585160_00027	OK585160 Vibrio phage vB_VpP_HA7, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	97.2	OK585159_00027	OK585159 Vibrio phage vB_VpP_HA5, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	96.2	MF754112_00024	MF754112 Vibrio phage vB_VpaP_KF2, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	96.2	ON457555_00013	ON457555 Vibrio phage vB_VpaP_M9, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	96.2	ON457554_00013	ON457554 Vibrio phage vB_VpaP_M83, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	96.2	MN974282_00012	MN974282 Vibrio phage OWB, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	96.2	MK474470_00012	MK474470 UNVERIFIED: Vibrio phage vB_VpaS_OWB, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	96.1	MZ592921_00001	MZ592921 Vibrio phage vB_VpP_NS8, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	95.8	OM362522_00037	OM362522 Vibrio phage vB_VpaP_GHSM17, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	95.8	MZ516827_00004	MZ516827 Vibrio phage vB_VpP_DE10, complete genome.
vB_VpP_AC2_4	DNA polymerase	99.9	95.8	MZ182247_00004	MZ182247 Vibrio phage vB_VpP_DE18, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	100.0	ON864052_00006	ON864052 Vibrio phage vB_VpP_AC2, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	96.4	OK585158_00025	OK585158 Vibrio phage vB_VpP_HA1, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	96.4	ON080941_00033	ON080941 Vibrio phage F23s2, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	96.4	OK349506_00015	OK349506 Vibrio phage vB_VpaP_AL-1, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	96.4	FJ896200_00017	FJ896200 Vibrio phage VP93, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	86.9	OM799543_00015	OM799543 Vibrio phage OY1, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	85.9	ON872379_00033	ON872379 Vibrio phage vB_VpaP_1701, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	85.9	OM362522_00035	OM362522 Vibrio phage vB_VpaP_GHSM17, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	85.9	OP117450_00022	OP117450 UNVERIFIED_ORG: Vibrio phage SSJ01, complete genome.
vB_VpP_AC2_6	nucleotidyltransferase	99.5	85.9	MZ592921_00003	MZ592921 Vibrio phage vB_VpP_NS8, complete genome.
